include,source,resourceName,pubSubDocument,publish_type_SOAP_EM_OHI,namespace,subscriberPortName,mapper,messageVariant,extraFilter,addResourcesAndQueryParams,storeToESER,end
n,gps,globalreleasepricemessage,n/a,EM,,umg_lpi_subscriber_demo,n/a,raw,,y,y,end
n,gta,carrier,ohi_gta_carrier_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_gta_carrier_1_detail/19570825,umg_grcs_subscriber,gta_carriermapper,pubsubwrapped,,n,y,end
n,gta,companyaccount,ohi_gta_companyaccount_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_gta_companyaccount_1_detail/19570825,umg_digs_gta_subscriber,gta_companyaccountmapper,pubsubwrapped,,n,y,end
n,gta,companyaccount,ohi_gta_companyaccount_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_gta_companyaccount_1_detail/19570825,umg_digsreporting_subscriber,gta_companyaccountmapper,pubsubwrapped,,n,y,end
n,gta,configuration,ohi_gta_configuration_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_gta_configuration_1_detail/19570825,umg_digsreporting_subscriber,gta_configurationmapper,pubsubwrapped,,n,y,end
n,gta,configuration,ohi_gta_configuration_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_gta_configuration_1_detail/19570825,umg_grcs_subscriber,gta_configurationmapper,pubsubwrapped,,n,y,end
n,gta,configuration,ohi_gta_configuration_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_gta_configuration_1_detail/19570825,umg_digs_gta_subscriber,gta_configurationmapper,pubsubwrapped,,n,y,end
n,gta,configuration,ohi_gta_configuration_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_gta_configuration_1_detail/19570825,umg_musicgadget_subscriber,gta_configurationmapper,pubsubwrapped,,n,y,end
n,gta,country,ohi_gta_country_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_gta_country_1_detail/19570825,umg_digs_gta_subscriber,gta_countrymapper,pubsubwrapped,,n,y,end
n,gta,country,ohi_gta_country_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_gta_country_1_detail/19570825,umg_digsreporting_subscriber,gta_countrymapper,pubsubwrapped,,n,y,end
